Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1167	2022	Solanum_aethiopicum_PI_666075	4	6	5	5	6	6	5	4	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1
1167	2022	Solanum_aethiopicum_PI_666075	7	5	5	7	5	5	5	5	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1
1219	2022	Solanum_aethiopicum_PI_441900	4	4	6	5	4	5	6	7	5	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1
1327	2023	Solanum_aethiopicum_PI_424860	2	6	6	5	5	5	4	4	6	5	5	4	5	6	5	5	6	6	5	4	5	5.1
1326	2023	Solanum_aethiopicum_PI_424860	1	6	5	6	4	4	5	5	6	5	4	6	4	5	5	7	5	4	4	5	6	5.05
1153	2022	Solanum_aethiopicum_PI_424860	6	5	5	5	5	7	5	4	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1161	2022	Solanum_aethiopicum_PI_441879	7	5	6	5	5	6	5	4	3	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1230	2022	Solanum_aethiopicum_PI_666076	2	4	5	5	4	6	5	6	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1230	2022	Solanum_aethiopicum_PI_666076	4	4	5	6	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1231	2022	Solanum_aethiopicum_PI_666076	1	5	4	4	6	5	5	4	7	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1234	2022	Solanum_aethiopicum_PI_666078	6	5	5	5	6	6	5	4	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1153	2022	Solanum_aethiopicum_PI_424860	2	5	5	4	5	4	6	5	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9
1153	2022	Solanum_aethiopicum_PI_424860	7	5	4	4	5	6	5	5	6	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9
1155	2022	Solanum_aethiopicum_PI_636107	8	5	5	5	5	5	4	5	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9
1161	2022	Solanum_aethiopicum_PI_441879	5	5	5	5	4	6	5	4	6	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9
1167	2022	Solanum_aethiopicum_PI_666075	8	5	5	5	6	5	4	5	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9
1234	2022	Solanum_aethiopicum_PI_666078	5	5	5	5	5	5	5	4	4	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9
1159	2022	Solanum_aethiopicum_PI_441879	7	4	5	4	6	4	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.857142857
1153	2022	Solanum_aethiopicum_PI_424860	5	5	4	5	4	5	5	5	6	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8
1231	2022	Solanum_aethiopicum_PI_666076	5	6	4	4	4	4	5	6	6	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8
1234	2022	Solanum_aethiopicum_PI_666078	7	4	5	5	4	6	5	5	5	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8
1381	2023	Solanum_aethiopicum_PI_666078	1	5	5	5	5	4	4	5	6	5	4	5	4	4	5	4	6	5	5	5	5	4.8
1167	2022	Solanum_aethiopicum_PI_666075	5	4	5	6	4	5	5	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.777777778
1153	2022	Solanum_aethiopicum_PI_424860	8	5	6	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.75
