Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1202	2022	Solanum_aethiopicum_PI_441886	8	6	7	6	6	8	10	8	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9
1203	2022	Solanum_aethiopicum_PI_441887	5	7	7	10	7	8	6	7	6	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9
1214	2022	Solanum_aethiopicum_PI_441898	1	6	7	7	8	8	8	6	7	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9
1214	2022	Solanum_aethiopicum_PI_441898	6	7	6	8	6	8	8	8	7	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9
1235	2022	Solanum_aethiopicum_SC102	8	6	7	6	7	8	8	7	7	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9
1154	2022	Solanum_aethiopicum_PI_424859	7	6	7	8	7	7	7	7	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.8
1237	2022	Solanum_aethiopicum_SC102	3	5	8	6	6	6	9	6	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.777777778
1352	2023	Solanum_aethiopicum_PI_441877	2	7	5	6	8	7	6	7	7	6	6	7	7	9	5	7	7	7	6	9	6	6.75
1160	2022	Solanum_aethiopicum_PI_441879	2	8	8	5	7	6	7	7	6	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7
1160	2022	Solanum_aethiopicum_PI_441879	6	7	6	6	6	5	6	8	9	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7
1160	2022	Solanum_aethiopicum_PI_441879	8	6	5	6	10	6	8	6	6	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7
1188	2022	Solanum_aethiopicum_PI_441875	4	7	7	5	7	6	6	7	6	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7
1202	2022	Solanum_aethiopicum_PI_441886	4	6	5	6	7	7	7	6	6	11	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7
1229	2022	Solanum_aethiopicum_PI_666076	1	7	6	7	6	7	6	7	6	8	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7
1154	2022	Solanum_aethiopicum_PI_424859	8	6	8	7	6	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.666666667
